SerialNo,Substation_x,datetime,V_MIN,V_MIN_Filtered,V_MAX,V_MAX_Filtered,I_GEN_MIN,I_GEN_MIN_Filtered,I_GEN_MAX,I_GEN_MAX_Filtered,I_IMPORT_MIN,I_IMPORT_MIN_Filtered,I_IMPORT_MAX,I_IMPORT_MAX_Filtered,P_GEN_MIN,P_GEN_MAX,P_IMPORT_MIN,P_IMPORT_MAX,Q_GEN_MIN,Q_GEN_MAX,Q_IMPORT_MIN,Q_IMPORT_MAX,S_GEN_MIN,S_GEN_MAX,S_IMPORT_MIN,S_IMPORT_MAX,thdV_MIN,thdV_MIN_Filtered,thdV_MAX,thdV_MAX_Filtered,thdI_GEN_MIN,thdI_GEN_MAX,thdI_IMPORT_MIN,thdI_IMPORT_MAX,f_min,f_max,V_MAX_Rise_vs_VA_MIN_Filtered,V_MAX_Rise_vs_VA_MAX_Filtered,V_MAX_Rise_vs_VB_MIN_Filtered,V_MAX_Rise_vs_VB_MAX_Filtered,V_MAX_Rise_vs_VC_MIN_Filtered,V_MAX_Rise_vs_VC_MAX_Filtered,Site,Month,Hour,TempOut,HiTemp,LowTemp,OutHum,DewPt,WindSpeed,WindRun,HiSpeed,WindChill,HeatIndex,THWIndex,Bar,Rain,RainRate,SolarRad,SolarEnergy,HiSolarRad,HeatD-D,InTemp,InHum,InDew,InHeat,InEMC,InAirDensity,ET,Year,Day_of_Year,Week_of_Year,Voltage_Drop,Current_Drop,Power_Drop,Power_to_Solar_Ratio,Apparent_Power_Ratio,Temperature_Difference,Humidity_Variation,Dew_Point_Difference,Wind_Speed_Variability,Rainfall_Accumulation,THD_Variation,THD_I_Gen_Variation,Cumulative_Power_Generation,days_since_install,time_degradation,temp_stress,humidity_stress,solar_exposure,voltage_drop_stress,current_drop_stress,thd_stress,environmental_stress,operational_stress,daily_degradation,degradation
3067E69020456129,Forest Road,05-12-2013 13:00,0.811639779,0.811639779,0.748116491,0.748116491,0.067007673,0.067007673,0.103134557,0.103134557,0.050189311,0.050189311,0.024170651,0.024170651,0.138110749,0.061086637,0.602342787,0.218337933,0.941463415,0.83,0.488408037,0.177929855,0.404462546,0.398974996,0.049982276,0.025055792,0.58059789,0.58059789,0.449807774,0.449807774,0.012907669,0.02699814,0.076344551,0.024886963,0.996606786,0.994359507,0.518201664,0.752305946,0.532672429,0.719446922,0.555966842,0.852672584,Maple Drive East,5,13,0.315457413,0.310344828,0.324159021,0.65625,0.316513761,0.4,0.4,0.515151515,0.268138801,0.308411215,0.264797508,0.748400853,0,0,0.069069069,0.069134078,0.063380282,0.478696742,0.178997613,0.595744681,0.265384615,0.145491803,0.604982206,0.776923077,0.079365079,2013,132,19,-0.084910958,0.350288837,-1.260899532,0.884428267,5.776464078,-0.013814193,0.060505319,0.051129146,0.115151515,0,-0.130790116,0.014090471,0.061086637,0,0,0,0,0.004377617,-0.084910958,0.350288837,0.476805914,4.38E-07,0.000148437,0.000148875,0.000148875
3067E69020456129,Forest Road,05-12-2013 14:00,0.825035736,0.825035736,0.80618584,0.80618584,0.067604433,0.067604433,0.09793578,0.09793578,0.044465968,0.044465968,0.023054335,0.023054335,0.132899023,0.060792952,0.605630908,0.219487887,0.951219512,0.84,0.488408037,0.174508127,0.403931291,0.401149247,0.045019497,0.024142828,0.610785463,0.610785463,0.486544212,0.486544212,0.013297033,0.026145416,0.079027518,0.024080667,0.996207585,0.992875167,0.68995221,0.75798212,0.564045215,0.793785311,0.602992545,0.836707325,Maple Drive East,5,14,0.347003155,0.34169279,0.354740061,0.625,0.344036697,0.4,0.4,0.515151515,0.309148265,0.342679128,0.302180685,0.731343284,0,0,0.06006006,0.060055866,0.075899844,0.423558897,0.198090692,0.595744681,0.292307692,0.159836066,0.604982206,0.753846154,0.079365079,2013,132,19,-0.023381577,0.309706493,-1.186092608,1.012202652,6.679134969,-0.013047271,0.029255319,0.051729005,0.115151515,0,-0.124241251,0.012848383,0.121879589,0,0,0,0,0.004558549,-0.023381577,0.309706493,0.512689628,4.56E-07,0.000159803,0.000160259,0.000309133
3067E69020456129,Forest Road,05-12-2013 15:00,0.824259751,0.824259751,0.783319381,0.783319381,0.033589088,0.033589088,0.086697248,0.086697248,0.020515981,0.020515981,0.021234256,0.021234256,0.119543974,0.008810573,0.61405672,0.229454155,0.980487805,0.545,0.477588872,0.219846022,0.421462724,0.406740177,0.020560085,0.02221546,0.573270809,0.573270809,0.508756941,0.508756941,0.012095567,0.04136165,0.094650601,0.033202731,0.996207585,0.993468903,0.553837985,0.775152547,0.572024421,0.807463574,0.598091862,0.878919471,Maple Drive East,5,15,0.350157729,0.344827586,0.370030581,0.671875,0.371559633,0.4,0.4,0.484848485,0.312302839,0.345794393,0.30529595,0.724946695,0,0,0.02002002,0.020018622,0.021909233,0.421052632,0.205250597,0.595744681,0.303846154,0.165983607,0.604982206,0.746153846,0,2013,132,19,-0.052265233,0.612570309,-12.56824057,0.440088122,20.31667186,-0.025202995,0.076130319,0.067713479,0.084848485,0,-0.064513868,0.029266083,0.130690162,0,0,0,0,0.000438623,-0.052265233,0.612570309,0.550118591,4.39E-08,0.000222085,0.000222129,0.000531262
3067E69020456129,Forest Road,05-12-2013 16:00,0.701245661,0.701245661,0.750319425,0.750319425,0.027621483,0.027621483,0.036085627,0.036085627,0.023597781,0.023597781,0.13771932,0.13771932,0.019218241,0.008516887,0.67755857,0.346979454,0.980487805,0.535,0.477588872,0.289136014,0.424650257,0.431899363,0.023750443,0.139277744,0.572391559,0.572391559,0.463904314,0.463904314,0.011958026,0.040628698,0.015489735,0.034976581,0.995409182,0.993765771,0.651247861,0.768270186,0.635555824,0.774531668,0.691413378,0.865253209,Maple Drive East,5,16,0.356466877,0.351097179,0.370030581,0.6875,0.389908257,0.4,0.4,0.454545455,0.318611987,0.352024922,0.314641745,0.729211087,0,0,0,0,0,0.408521303,0.205250597,0.617021277,0.315384615,0.165983607,0.616844603,0.746153846,0.047619048,2013,132,19,0.06540383,0.23455721,-1.256486554,,,-0.018933402,0.070478723,0.074523642,0.054545455,0,-0.108487245,0.028670672,0.139207049,0,0,0,0,0,0.06540383,0.23455721,0.504533012,0,0.000160899,0.000160899,0.000692161
3067E69020456129,Forest Road,05-12-2013 17:00,0.705003063,0.705003063,0.679120589,0.679120589,0.027706735,0.027706735,0.023700306,0.023700306,0.052742802,0.052742802,0.023369816,0.023369816,0.009446254,0.008516887,0.720920674,0.25659307,0.614634146,0.535,0.625965997,0.265183918,0.424650257,0.438422115,0.051754697,0.023737066,0.562133646,0.562133646,0.442118753,0.442118753,0.012953179,0.028643701,0.075240427,0.038203844,0.995808383,0.993468903,0.562570063,0.697034199,0.578552862,0.689414213,0.627808769,0.785426911,Maple Drive East,5,17,0.340694006,0.351097179,0.360856269,0.78125,0.417431193,0.266666667,0.266666667,0.363636364,0.321766562,0.342679128,0.320872274,0.742004264,0,0,0,0,0,0.436090226,0.212410501,0.638297872,0.338461538,0.174180328,0.640569395,0.738461538,0.047619048,2013,132,19,-0.03811175,-0.169045455,-0.109120504,,,-0.00975909,0.142952128,0.078969655,0.096969697,0,-0.120014893,0.015690522,0.147723936,0,0,0,0,0,-0.03811175,-0.169045455,0.470762454,0,5.27E-05,5.27E-05,0.000744882
3067E69020456129,Forest Road,05-12-2013 18:00,0.705125587,0.705125587,0.684363572,0.684363572,0.025660699,0.025660699,0.023776758,0.023776758,0.037333803,0.037333803,0.023515422,0.023515422,0.009446254,0.008516887,0.703452528,0.257743024,0.614634146,0.535,0.616692427,0.268605646,0.425535683,0.438422115,0.036866359,0.024142828,0.544548652,0.544548652,0.43058522,0.43058522,0.012380764,0.030168188,0.054667456,0.070476474,0.997205589,0.992875167,0.56888312,0.787143465,0.609804751,0.786648825,0.61331526,0.822083147,Maple Drive East,5,18,0.302839117,0.310344828,0.324159021,0.71875,0.330275229,0.133333333,0.133333333,0.181818182,0.302839117,0.299065421,0.299065421,0.771855011,0,0,0,0,0,0.498746867,0.202863962,0.617021277,0.311538462,0.163934426,0.616844603,0.761538462,0.047619048,2013,132,19,-0.030337697,-0.079234562,-0.109120504,,,-0.013814193,0.101728723,0.018736767,0.048484849,0,-0.113963432,0.017787424,0.156240823,0,0,0,0,0,-0.030337697,-0.079234562,0.460753408,0,7.02E-05,7.02E-05,0.000815118
3067E69020456129,Forest Road,05-12-2013 19:00,0.759975495,0.759975495,0.787637133,0.787637133,0.028729753,0.028729753,0.024082569,0.024082569,0.036277186,0.036277186,0.168005436,0.168005436,0.009446254,0.008516887,0.703452528,0.372431769,0.624390244,0.54,0.618238022,0.301967494,0.424119001,0.438111508,0.036157391,0.172347332,0.584701055,0.584701055,0.47885519,0.47885519,0.013092743,0.022355678,0.014065575,0.060558518,0.996407186,0.994359507,0.641925777,0.763658294,0.631022185,0.78642581,0.660445232,0.814994572,Maple Drive East,5,19,0.287066246,0.29153605,0.308868502,0.421875,0.133027523,0.133333333,0.133333333,0.181818182,0.287066246,0.271028037,0.271028037,0.778251599,0,0,0,0,0,0.523809524,0.198090692,0.468085106,0.215384615,0.155737705,0.486358244,0.776923077,0.047619048,2013,132,19,0.035119774,-0.192968782,-0.109120504,,,-0.017332452,-0.046210106,-0.082357092,0.048484849,0,-0.105845865,0.009262935,0.16475771,0,0,0,0,0,0.035119774,-0.192968782,0.501210868,0,6.87E-05,6.87E-05,0.00088379
3067E69020456129,Forest Road,05-12-2013 20:00,0.723177456,0.723177456,0.82328061,0.82328061,0.028303495,0.028303495,0.02293578,0.02293578,0.032138769,0.032138769,0.017472759,0.017472759,0.009446254,0.008516887,0.699136868,0.250766636,0.624390244,0.535,0.544049459,0.269461078,0.424473172,0.438888026,0.03190358,0.01795496,0.630715123,0.630715123,0.5412217,0.5412217,0.013353668,0.021696933,0.074472341,0.036572526,0.996806387,0.992578299,0.698566287,0.767347808,0.727860727,0.792001189,0.749074605,0.859377993,Maple Drive East,5,20,0.249211356,0.26645768,0.272171254,0.5625,0.169724771,0.066666667,0.066666667,0.090909091,0.249211356,0.239875389,0.239875389,0.799573561,0,0,0,0,0,0.588972431,0.190930788,0.446808511,0.192307692,0.147540984,0.462633452,0.792307692,0.047619048,2013,132,19,0.121590564,-0.234032372,-0.109120504,,,-0.005713574,0.115691489,-0.022582921,0.024242424,0,-0.089493423,0.008343265,0.173274597,0,0,0,0,0,0.121590564,-0.234032372,0.562918633,0,9.01E-05,9.01E-05,0.000973886
3067E69020456129,Forest Road,05-12-2013 22:00,0.776597917,0.776597917,0.743225977,0.743225977,0.028388747,0.028388747,0.024388379,0.024388379,0.045962842,0.045962842,0.015798287,0.015798287,0.009446254,0.008516887,0.698520345,0.245706838,0.619512195,0.54,0.474497682,0.179640719,0.424296086,0.437800901,0.045373981,0.016534794,0.691969519,0.691969519,0.633489962,0.633489962,0.014485352,0.03237876,0.155057366,0.047197941,0.996407186,0.992875167,0.524160717,0.727969349,0.429849483,0.713128159,0.603409624,0.846541925,Maple Drive East,5,22,0.186119874,0.197492163,0.211009174,0.671875,0.142201835,0,0,0.03030303,0.186119874,0.177570093,0.177570093,0.805970149,0,0,0,0,0,0.694235589,0.164677804,0.446808511,0.153846154,0.12704918,0.462633452,0.823076923,0.047619048,2013,132,19,-0.044901471,-0.16402763,-0.109120504,,,-0.013517011,0.225066489,-0.011644319,0.03030303,0,-0.058479557,0.017893408,0.181791484,0,0,0,0,0,-0.044901471,-0.16402763,0.665868722,0,9.14E-05,9.14E-05,0.001065274
3067E69020456129,Forest Road,05-12-2013 23:00,0.8061262,0.8061262,0.776886813,0.776886813,0.028815004,0.028815004,0.023853211,0.023853211,0.066390772,0.066390772,0.015968161,0.015968161,0.009446254,0.008516887,0.714960954,0.246626802,0.624390244,0.545,0.445131376,0.156544055,0.423764831,0.438111508,0.065934066,0.016737675,0.742086753,0.742086753,0.721913712,0.721913712,0.015000121,0.029017337,0.146229711,0.040010986,0.995209581,0.993468903,0.537553838,0.730736484,0.558604848,0.741971454,0.50185079,0.818634651,Maple Drive East,5,23,0.154574132,0.163009404,0.180428135,0.75,0.137614679,0,0,0,0.154574132,0.14953271,0.14953271,0.812366738,0,0,0,0,0,0.744360902,0.143198091,0.468085106,0.134615385,0.112704918,0.488730724,0.846153846,0,2013,132,19,-0.037636611,-0.20801363,-0.109120504,,,-0.017418731,0.281914894,0.002999294,0,0,-0.020173041,0.014017216,0.190308371,0,0,0,0,0,-0.037636611,-0.20801363,0.750931049,0,0.000101056,0.000101056,0.00116633
3067E69020456129,Forest Road,06-12-2013 00:00,0.812783337,0.812783337,0.805260607,0.805260607,0.027280477,0.027280477,0.024617737,0.024617737,0.036629392,0.036629392,0.015240129,0.015240129,0.009446254,0.008516887,0.686600904,0.242870285,0.624390244,0.545,0.443585781,0.183917879,0.424650257,0.437956204,0.036511875,0.015926151,0.839097304,0.839097304,0.82486117,0.82486117,0.015496687,0.025592122,0.158327066,0.045156713,0.995409182,0.993765771,0.594017346,0.803036753,0.611618207,0.834002379,0.667014233,0.937480043,Maple Drive East,6,0,0.151419558,0.147335423,0.171253823,0.78125,0.146788991,0.066666667,0.066666667,0.060606061,0.151419558,0.14953271,0.14953271,0.823027719,0,0,0,0,0,0.749373434,0.128878282,0.489361702,0.130769231,0.102459016,0.507710558,0.861538462,0,2013,163,24,-0.009341982,-0.108163476,-0.109120504,,,-0.0239184,0.291888298,0.01601976,-0.006060606,0,-0.014236134,0.010095435,0.198825258,0,0,0,0,0,-0.009341982,-0.108163476,0.850453292,0,0.00014659,0.00014659,0.001312919
